sourceTaxonName;sourceLifeStageName;sourcePhysiologicalStateId;interactionTypeName;targetTaxonName;targetLifeStageName;targetPhysiologicalStateName;habitatName;localityName;decimalLatitude;decimalLongitude;depth;altitude;observationDateTime;referenceDoi;referenceUrl;referenceCitation
Leptoconchus incycloseris;;;parasite of;Fungia (Cycloseris) costulata;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus infungites;;;parasite of;Fungia (Fungia) fungites;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus ingrandifungi;;;parasite of;Sandalolitha dentata;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus ingranulosa;;;parasite of;Fungia (Wellsofungia) granulosa;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inlimax;;;parasite of;Herpolitha limax;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inpileus;;;parasite of;Halomitra pileus;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inpleuractis;;;parasite of;Fungia (Pleuractis) gravis;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inpleuractis;;;parasite of;Fungia (Pleuractis) moluccensis;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inpleuractis;;;parasite of;Fungia (Pleuractis) paumotensis;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus massini;;;parasite of;Fungia (Verrillofungia) concinna;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus massini;;;parasite of;Fungia (Verrillofungia) repanda;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Apis mellifera;;;nectar sourced from;Acacia sp ;;;;Kenya-Baringo;;;;;;;http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y;Warui MW (2018) Analysis of quality and origin attributes of Kenyan honey for geographical indication labelling in west Pokot, Baringo and Kitui counties. PhD Thesis University of Nairobi. http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y
Apis mellifera;;;Honey production;Acacia sp ;;;;Kenya-West Pokot;;;;;;;http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y;Warui MW (2018) Analysis of quality and origin attributes of Kenyan honey for geographical indication labelling in west Pokot, Baringo and Kitui counties. PhD Thesis University of Nairobi. http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y
Apis mellifera;;;Pollen sourced from;Acacia brevispica ;;;;Kenya-Kitui;;;;;;;http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y;Warui MW (2018) Analysis of quality and origin attributes of Kenyan honey for geographical indication labelling in west Pokot, Baringo and Kitui counties. PhD Thesis University of Nairobi. http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y
Amegilla mimadvena;;;floral resource from;Hibiscus surattensis;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Amegilla sp. 1;;;floral resource from;Agathisanthemum bojeri;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Amegilla sp. 1;;;floral resource from;Julbernardia magnistipulata;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Amegilla sp. 1;;;floral resource from;Rhynchosia velutina;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Amegilla sp. 1;;;floral resource from;Vernonia cinerea;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Apis melliferra;;;floral resource from;Abutilon zanzibaricum;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Apis melliferra;;;floral resource from;Agathisanthemum bojeri;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Apis melliferra;;;floral resource from;Julbernardia magnistipulata;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Apis melliferra;;;floral resource from;Ludwigia sp.;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Apis melliferra;;;floral resource from;Nesaea radicans;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Apis melliferra;;;floral resource from;Sorindeia madagascariensis;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Apis melliferra;;;floral resource from;Tridax procumbens;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Braunsapis sp;;;floral resource from;Cocos nucifera;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Braunsapis sp;;;floral resource from;Crotalaria emarginata Benth;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Braunsapis sp;;;floral resource from;Hoslundia opposita;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Braunsapis sp;;;floral resource from;Paulinia pinata;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 1;;;floral resource from;Allophylus rubifolius;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 1;;;floral resource from;Hoslundia opposita;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 2;;;floral resource from;Agathisanthemum bojeri;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 2;;;floral resource from;Tridax procumbens;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 3;;;floral resource from;Allophylus rubifolius;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 3;;;floral resource from;Eriosema glomeratum;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 3;;;floral resource from;Gossypioides kirkii;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 3;;;floral resource from;Paulinia pinata;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 3;;;floral resource from;Waltheria indica;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 4;;;floral resource from;Agathisanthemum bojeri;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 5;;;floral resource from;Waltheriaindica;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 6;;;floral resource from;Agathisanthemum bojeri;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 7;;;floral resource from;Agathisanthemum bojeri;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Ceratina sp. 7;;;floral resource from;Waltheria indica;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Dactylurina schmidti;;;floral resource from;Cajanus cajan;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Dactylurina schmidti;;;floral resource from;Urena lobata;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Hypotrigona sp. 1;;;floral resource from;Cajanus cajan;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Hypotrigona sp. 2;;;floral resource from;Cajanus cajan;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Macrogalea candida;;;floral resource from;Agathisanthemum bojeri;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Macrogalea candida;;;floral resource from;Hewittia malabarica;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Macrogalea candida;;;floral resource from;Waltheria indica;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Meliponula ferruginea;;;floral resource from;Agathisanthemum bojeri;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Meliponula ferruginea;;;floral resource from;Cocos nucifera;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Xylocopa caffra;;;floral resource from;Abutilon zanzibaricum;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Xylocopa caffra;;;floral resource from;Agathisanthemum bojeri;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
Xylocopa caffra;;;floral resource from;Cajanus cajan;;;Kaya Muhaka forest, Coast;Kenya Kilifi;;;;;;10.26786/1920-7603(2017)four;https://www.pollinationecology.org/index.php/jpe/article/view/319;Chiawo, D. O., OGOL, C. K., Kioko, E. N., Otiende, V. A., & Gikungu, M. W. (2017). Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya. Journal of Pollination Ecology, 20, 51–59. https://doi.org/10.26786/1920-7603(2017)four
